DF Topic #,DF Topic Name,Tally,Tags
474,Parallel vectors and straight line proofs using vectors,1,GCSE Higher
475,Solving vector problems by introduction of a scalar,1,GCSE Higher
476,Statistical fallacies,,
477,Risk,,
478,Cost-benefit and risk analysis,,
479,Comparative pie charts,,
480,Population pyramids,,
481,Choropleth maps,,
482,Heat maps,,
483,Bubble charts,,
484,Birth and death rates,,
485,Solving hidden quadratic equations (no logs or trigonometric functions),,
486,Simultaneous equations/systems of equations involving 3 variables,,
487,Piecewise functions,,
488,Stepwise functions,,
489,Dimensional analysis,,
490,Dealing with logical true-false statements (Boolean algebra),,
491,Syllogisms and tautologies,,
492,Discriminant of a quadratic function,,
493,Graphs of more general reciprocal functions,,
494,"Graphs of polynomials of order 3 or more, particularly cubic and quartic functions",,
495,Determine the equation of a straight line in point-slope form y-y_1 = m(x-x_1),,
496,Coordinate geometry on circles and the equation of a circle with any centre,,
497,Algebraic division,,
498,The factor theorem,,
499,The remainder theorem,,
500,Solving cubic equations,,
501,Binomial expansion of (a + bx)^n where n is a positive integer,,
502,"Constructing proofs involving sin, cos and tan (excluding double angle formulae), and simplifying expressions",,
503,"Solving trigonometric equations, involving \sin, \cos and \tan, in an interval in degrees",,
504,Writing vectors in terms of unit vectors,,
505,Position vectors and the distance between two points from their position vectors,,
506,Trigonometry involving vectors,,
507,Limit notation and limiting values from graphs or tables,,
508,Combining limits using graphs,,
509,Determining limits for a finite value using algebraic manipulation,,
510,Unbounded limits and determining limits to infinity (including limiting values of sequences),,
511,Differentiating from first principles for small positive powers of x,,
512,Differentiating ||x^n|| for rational values of ||n||,,
513,Mean value theorem and Rolle's theorem,,
514,Differentiability of functions,,
515,Second derivative of a polynomial function (involving powers of x only),,
516,Increasing and decreasing polynomial functions (involving powers of x only),,
517,Maxima and minima and stationary points for powers of x,,
518,Optimisation problems involving powers of x,,
519,"Sketching the gradient function for a given curve, e.g. in relation to speed and acceleration",,
520,Equations of tangents and normals (powers of x only),,
521,Integrating x^n (excluding n=-1) for rational n,,
522,"Determining a function given its derivative and a point, for polynomials",,
523,Riemann sums,,
524,The fundamental theorem of calculus and accumulation functions,,
525,"Evaluating definite integrals for powers of x, e.g. to find an area under a curve or area between curves",,
526,Graphs of exponential functions y = e^{ax+b} + c and exponential growth and decay,,
527,Laws of logs (excluding ln(x)),,
528,Solving equations and manipulate expressions involving e^x and ln(x),,
529,Graphs of y = log_a(x) and y = ln(x),,
530,Using log graphs to estimate parameters in y = ax^b and y = ab^x for given data in x and y,,
531,"Further sampling techniques, including systematic, quota and opportunity sampling",,
532,Sigma notation and mean in a statistical context,,
533,Mean absolute deviation,,
534,Variance and standard deviation of grouped or ungrouped data,,
535,Standardised scores,,
536,Outliers,,
537,Quality assurance,,
538,Weighted mean,,
539,Geometric mean,,
540,Average of rates and sum of rates,,
541,Logarithmic scales and modelling,,
542,Simple index numbers,,
543,Chain base index numbers,,
544,"Interpolation to determine median, quartiles and percentiles",,
545,Coding data,,
546,Using and interpreting the equation of a regression line,,
547,"Discrete random variables, including functional notation for probability distributions",,
548,Binomial distribution,,
549,Hypothesis tests on a proportion p in a binomial model,,
550,Displacement-time graphs and velocity-time graphs,,
551,suvat' equations (excluding forces),,
552,Projectile motion in 1D,,
553,"Forces on a single particle in equilibrium, not on an inclined plane, no F = μR",,
554,Forces as vectors,,
555,"Forces on an accelerating single particle, not on an inclined plane, no F = μR",,
556,"Forces on accelerating connected particles, not on an inclined plane, no F = μR",,
557,Considering forces on accelerating particles (no inclines nor F = μR) to make calculations about subsequent motion,,
558,"Calculus in kinematics for motion in a straight line, e.g. v = dr/dt, in 1 dimension",,
559,Decompose rational expressions into partial fractions,,
560,Proof by deduction/Direct proof,,
561,Proof by exhaustion,,
562,Proof by contradiction,,
563,"Advanced concepts of proof, including 'if and only if', sufficient conditions and necessary conditions",,
564,Domain and range of more advanced functions (e.g. exponential),,
565,One-to-one vs many-to-one functions,,
566,"Surjective, injective and bijective functions",,
567,"Composite functions involving e^x, ln x or algebraic fractions",,
568,Inverse functions with domain/range and more advanced functions,,
569,Graphs of inverse functions,,
570,Sketching graphs involving the modulus function,,
571,Solving equations involving the modulus equation,,
572,Solving inequalities involving the modulus function,,
573,nth term formula for arithmetic sequences (using standard formulae),,
574,Sum terms in an arithmetic series,,
575,nth term formula for a geometric sequence (using standard formulae),,
576,Tests for convergence of a series,,
577,Alternating series error bound,,
578,Summing terms in a geometric series (including the sum to infinity),,
579,Equivalent interest rates,,
580,"Annuities, amortisation and investments with periodic payments",,
581,Sigma notation for sums of series,,
582,Recurrence relations given in the form x_{n+1} = f(x_n),,
583,Binomial expansion of (a + bx)^n where n is any rational number,,
584,"Using radians for arc lengths and areas of sectors, and lengths, angles and areas of triangles",,
585,Properties of sinusoidal graphs (in radians) and sinusoidal modelling,,
586,"Small angle approximations for sin, cos and tan when in radians",,
587,"Solving trigonometric equations, involving sin, cos and tan, in an interval in radians",,
588,Sketching y = 1/f(x) and y = [f(x)]^2,,
589,"Graphs of sec, cosec and cot",,
590,"Angle sum and double/half angle formulae for sin, cos and tan",,
591,Expressing a cos(x) + b sin(x) in the form R cos(x + α) or R sin(x+α),,
592,"Constructing proofs involving sec, cosec and cot",,
593,"Solving trigonometric equations, involving sec, cosec and cot, in an interval",,
594,Parametric equations and conversion between Cartesian and parametric forms,,
595,Differentiating exponential functions and ln(x),,
596,Differentiating sin x and cos x,,
597,"Product, quotient and chain rules",,
598,"Differentiating tan x, reciprocal trigonometric functions, and powers of these",,
599,Graphs of reciprocal functions with quadratics,,
600,Implicit differentiation,,
601,Logarithmic differentiation,,
602,Concavity and points of inflection,,
603,Connected rates of change,,
604,Differentiating parametric equations,,
605,Continued fractions,,
606,Continued fractions,,
607,Differentiating expressions given in the form x = f(y) for trigonometric functions,,
608,Differentiating inverse trigonometric functions,,
609,(Fixed point) iteration on more advanced functions and use of cobweb and staircase diagrams,,
610,Applying relaxations to a fixed point convergence,,
611,Solving equations using the Newton-Raphson method (Newton's method),,
612,Bisection method,,
613,Linear interpolation method (false position method) for locating roots,,
614,Secant method,,
615,Order of convergence of numerical methods for locating roots,,
616,Forward difference method and central difference method for approximating derivatives,,
617,"Integrating exponential, trigonometric functions and 1/x",,
618,Integration by inspection,,
619,Integration by substitution,,
620,Integration by parts,,
621,Integration using partial fractions,,
622,Solving linearly separable first order differential equations,,
623,Logistic models f(x) = L / (1 + Ce^(-kx)),,
624,Integrating parametric equations,,
625,The trapezium rule (trapezoidal rule),,
626,Covariance,,
627,"Using Pearson's product moment correlation coefficient (PMCC), including the effect of coding",,
628,Calculating Pearson's product moment correlation coefficient (PMCC),,
629,Spearman's rank correlation coefficient,,
630,Hypothesis tests on a product moment correlation coefficient,,
631,Hypothesis tests on a Spearman's rank correlation coefficient,,
632,Venn diagrams of probabilities (using set notation),,
633,Probability law for independent events (multiplication rule),,
634,Addition rule for probability,,
635,Probability law for conditional events,,
636,Bayes' Theorem,,
637,Permutations and Combinations,,
638,Further properties of Pascal's triangle,,
639,Calculating the skewness of data,,
640,Properties of the normal distribution and finding the probability of ranges,,
641,Inverse normal distribution,,
642,Conditional probabilities involving a normal distribution,,
643,Standard normal distribution (including unknown mean and standard deviation),,
644,Normal distribution as an approximation to a binomial distribution,,
645,Hypothesis tests on the mean of a population by using a sample,,
646,"Moments with horizontal/vertical forces (e.g. rods, suspended bars)",,
647,"Forces on a single particle in equilibrium, not on an inclined plane, using F = μR",,
648,Determining components of angled forces and manipulating the resultant force vector,,
649,"Forces on a single particle in equilibrium, on an inclined plane/inclined forces, no F = μR",,
650,"Forces on a single particle in equilibrium, on an inclined plane/inclined forces, using F = μR",,
651,"Forces on an accelerating single particle, not on an inclined plane, using F = μR",,
652,"Forces on an accelerating single particle, on an inclined plane/inclined forces, no F = μR",,
653,"Forces on an accelerating single particle, on an inclined plane/inclined forces, using F = μR",,
654,Projectile motion in 2D,,
655,"Forces on accelerating connected particles, not on an inclined plane, using F = μR",,
656,"Forces on accelerating connected particles, on an inclined plane/inclined forces, no F = μR",,
657,"Forces on accelerating connected particles, on an inclined plane/inclined forces, using F = μR",,
658,Considering forces on accelerating particles (with an incline and possibly F = μR) to make calculations about subsequent motion,,
659,"Moments for static rigid bodies with angled forces (e.g. hinges, ladders)",,
660,Vector calculations for displacement or velocity with constant velocity,,
661,Vector calculations given a constant acceleration vector,,
662,Vector calculations for displacement or velocity with variable acceleration,,
663,Calculus in 1D for non-constant acceleration with more advanced functions,,
664,Understanding imaginary numbers,,
665,"Adding, subtracting and multiplying complex numbers",,
666,Complex conjugation,,
667,Division of complex numbers,,
668,Solving quadratic equations to find potentially complex roots,,
669,Solving cubic and quartic equations to find potentially complex roots,,
670,Argand diagrams,,
671,Conversion between Cartesian (rectangular) and modulus-argument (polar) form,,
672,Multiplying and dividing complex numbers in modulus-argument form,,
673,Simple loci in an Argand diagram,,
674,"Formulae for sums of integers, squares and cubes",,
675,"Relationship between roots and coefficients of polynomial equations, up to quartics",,
676,Polynomial equations whose roots are a linear transformation of the roots of a given polynomial equation,,
677,Volumes of revolution (powers of x only),,
678,"Volumes of revolution (for non-polynomials, excluding hyperbolics)",,
679,Adding and subtracting matrices and scalar multiplication,,
680,Multiplying matrices,,
681,Transpose of a matrix,,
682,Calculating determinants of 2×2 matrices,,
683,Calculating determinants of 3×3 matrices,,
684,Inverse of a 2×2 matrix,,
685,Inverse of a 3×3 matrix,,
686,Algebraic identities involving matrices,,
687,Solving simultaneous equations/systems of equations (up to 3 variables) by use of an inverse matrix,,
688,Gaussian elimination / row reduction and general solutions to simultaneous equations/systems of equations,,
689,Cramer's rule,,
690,Geometrically interpreting the solution and failure of the solution to three simultaneous linear equations,,
691,Using matrices to represent an arbitrary linear transformation,,
692,"Using matrices to represent reflections, enlargements/dilations and rotations by multiples of 90°",,
693,Using matrices to represent 2D rotations by any angle,,
694,Using matrices to represent a reflection in the line y = (tan θ)x or a projection onto it,,
695,Using the inverse of a matrix to represent undoing a transformation,,
696,Using matrices to represent 3D transformations,,
697,Matrix representations of combined transformations,,
698,Geometrically interpreting the determinant of a 2×2 matrix,,
699,Geometrically interpreting the determinant of a 3×3 matrix,,
700,Invariant points and lines for a linear transformation,,
701,Homogeneous coordinates and affine transformations,,
702,"Proof by induction for summations, divisibility, powers of matrices and inequalities",,
703,Strong induction,,
704,Vector form of a straight line in 2D and 3D,,
705,Cartesian (rectangular) form of an equation of a straight line in 2D and 3D,,
706,Point of intersection of two straight lines in 3D,,
707,Vector equations of planes in the form r = a + λb + μc,,
708,Dot/scalar product and angles between vectors,,
709,Cartesian equation of a plane and r · n = a · n form,,
710,Point of intersection of a line and a plane or a plane and plane,,
711,Angles between a combination of lines and planes,,
712,"Shortest distance between points or lines, and lines or planes",,
713,Reflection of points in planes,,
714,Limits involving trigonometric functions,,
715,Squeeze theorem,,
716,Discontinuity at points,,
717,Continuity at points and intervals,,
718,Euler's formula e^{iθ} = cos(θ) + i sin(θ),,
719,Powers of complex numbers using de Moivre's theorem,,
720,Proving trigonometric identities using de Moivre's theorem,,
721,Sums of series using de Moivre's theorem,,
722,"nth roots of unity and other complex numbers, and geometric problems",,
723,Method of differences for summation of series,,
724,Maclaurin series,,
725,Approximations for π,,
726,Improper integrals where one of the limits extends to infinity,,
727,Integrating functions given in the form 1/{a^2 - x^2} and 1/{a^2 + x^2},,
728,Mean value of a function,,
729,Conversion between polar and Cartesian coordinates,,
730,Sketching polar curves with r given as a function of θ,,
731,Determining the area enclosed by a polar curve,,
732,Tangents and normals to polar curves,,
733,Definitions and graphs of hyperbolic functions,,
734,Inverse hyperbolic functions and solving hyperbolic equations,,
735,Differentiating hyperbolic and inverse hyperbolic functions,,
736,Integrating hyperbolic functions,,
737,Integrating functions given in the form 1/√(x^2 + a^2) and 1/√(x^2 - a^2),,
738,Using integrating factors to solve differential equations given in the form dy/dx + P(x)y = Q(x),,
739,Homogeneous second order differential equations,,
740,Non-homogeneous second order differential equations,,
741,Simple Harmonic Motion (excluding springs),,
742,Modelling damped oscillations using second order differential equations,,
743,Modelling forced harmonic motion using non-homogeneous second order differential equations,,
744,Coupled first order linear differential equations (no use of eigenvalues),,
745,Partitions of a set,,
746,Pigeonhole principle / Dirichlet's box principle,,
747,Inclusion-exclusion principle,,
748,Derangements,,
749,Stirling numbers of the second kind,,
750,Vector product a × b of two vectors,,
751,Components of vectors in an arbitrary direction,,
752,Scalar triple product a · b × c,,
753,Equations of lines and planes and shortest distances using vector products,,
754,Geometric definitions of conic sections,,
755,Parabolas (with vertex at the origin) and their focus and directrix,,
756,Rectangular hyperbolae,,
757,Ellipses and hyperbolae (excluding eccentricity),,
758,Eccentricity in ellipses and hyperbolae,,
